doc_id,entity_type,entity_text
halaman_367_processed,LOCATION,Sumatra
halaman_37_processed,LOCATION,Sumatra
halaman_37_processed,LOCATION,Java
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Jan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Raden
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Itu putri Pangeran
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Ajoe putri Pangeran
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Laksamana
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Sunan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Adipati
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Sri
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Raja
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Sultan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Pangeran
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,PERSON,Willem
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Sumatra
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Bantam
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Podjok
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepulauan Hindia Timur
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jara Timur
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Benteng Erfprins
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kartasura
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Singkawvang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Teluk Segara Anakan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Utara Air
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Negara Kerajaan Luas
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zona
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Sterakarta
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Panataran
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dessa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tiongkok Wormosa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kerajaan Belanda
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ngampel
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Cherilon
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Soeralaja
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Sansekerta
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Teluk Patjitan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Rotti
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jura
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Menangkabaw
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dawuan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Palembang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kabupaten Pamalang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Gunung Seraiah
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dept
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Banten Kabupaten Preanger
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Aceh
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pandoesan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Mataram
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Semenanjung Malaka
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dyilolo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Daerah Mataram
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Junenvun
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ceilon
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Utara Arah Timur Laut
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ceilor
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Rupanya
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Temboeran
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,East India Company
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kabupaten Kediri
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selatan Kapal
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Utara Kemiringan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ceilon Verbande
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dewata Sang Jang Toenggal
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jalan Besar
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selatan Departemen Samarang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timur Zhi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Balambangan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pafjitan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dataran Tinggi Bandong
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zjikopo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Boemi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Poeloe Pinang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Banjoemds
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Palem
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tuan Cornelis
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Djett
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Batavia Institusi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Schiedam
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jawa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Rotfi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ket Nederlandsch
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selat Bali
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pegunungan Zengger
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zelewaoe
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pantai Barat
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timor
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pedalaman
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zanggars
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Avdiri
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Soepa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Yoovers
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Swmatra
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kecamatan Janakerta
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pegunungan Tengger
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kepalanya
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Selatan Kepulauan Wesler
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Oosthoek Jawa
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zebaksiu
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Susuhunan Mataram
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jadramajoe
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Oedjong Pandang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Motir
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kraton
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Hi Langkap
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Soemberioaroe
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Perumahan Djokjokarta
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Progo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kompi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zyi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Neox Kembalikan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jakalra Kini
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zabanan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Angka
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Fort
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Masyarakat Batavia
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Teluk Bronei
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Madjangon
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pulau Madoera
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Flores
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ayabdhi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pantai Barat Kalimantan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pandeglang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Bojolali
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Krawang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jilolo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kediaman Banjoewangi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Disingkirkan
